,Case,gamma,chi,ReC,U (m/s),T (s),Tcirc (s),Tsp (s)
0,RUN A3,0.022818026240730177,0.2527096406160867,0.38168067015932206,0.005866641546130531,37.431978462164935,117.59602854606872,5.7903283836792845
1,RUN C2,0.022818026240730177,0.4352538505419281,0.3634574515365249,0.00640060852310346,39.30876245466843,123.49211934929264,5.7903283836792845
2,RUN D1,0.045636052481460354,0.4352538505419281,0.7753758966112532,0.003413657878988512,73.70392960250331,231.54772377992367,23.161313534717138
3,RUN E1,0.022818026240730177,0.5790074158585282,0.3503397927468398,0.006787543190564677,40.780587648381825,128.115994565231,5.7903283836792845
